Diagnosis,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking
Total,CA,29807656,2607782,9160633,7345339,4720747,5973155,14590412,15217244,10984122,11431394,1649037,4162615,1580488,4571687,6477376,9085092,9673501,15005749,1165911,3886551,9496089,253355,1778908,7773208,5788376,6571491,2945508,1837790,3112375,12710185,17097471,7754592,21877208,175856,16547289,13014798,245569,2653468,2268397,1835188,3123273,2155164,3108576,1516762,2235700,10911129,17382066,7725749,5828450,3073846,3256846,8981306,898554,1830774,844695,5385888,242490,279316,184316,161298,29330436,287567,14711339,5315812,660387,106185,9013933,17823814,2354789,363946,160665,9104442,12804165,6797303,1142214,37122,9026852,16650949,3094535,950244,74107,9037821
Yes,CA,4346480,317122,1395845,1052660,815973,764880,1814675,2531805,2462467,883613,227706,487653,285042,1286330,1005403,1368218,686528,2126863,93286,803301,1317821,5208,149205,612979,559643,776071,605376,402375,1240830,2674111,1672369,1589989,2756491,-,2434946,1902632,8902,564513,280337,454884,583343,184349,356020,91908,80006,1751119,2282413,1497042,1064713,798020,616657,1588846,339746,356518,283885,1025763,153116,197674,157106,153116,4323035,19455,1933992,803263,42810,58729,1507685,2337405,323889,55297,58923,1570965,1788059,862635,132049,37122,1526614,2325366,388329,87977,37122,1507685
No,CA,25011773,2247537,7677814,6061765,3872932,5151726,12604507,12407266,8227884,10485689,1406835,3640988,1250377,3092483,5392776,7642469,8884045,12747671,967255,3019896,8163499,113453,1571761,6999050,5140016,5726115,2304211,1433837,1836784,9925749,15086025,5996038,18974292,41443,14032223,10910377,69172,2064379,1915720,1305772,2526720,1952940,2736173,1422004,2144150,8943914,15032143,6190784,4717295,2188144,2632841,7298446,548418,1458168,486968,4134783,89374,81642,27210,8182,24704197,121914,12708267,4416571,547708,47455,7291773,15272912,2011490,306626,101742,7319002,10910608,5834262,981140,-,7285764,14201404,2665062,794683,34964,7315661
Not sure,CA,265191,-,62909,148885,4951,48446,89206,175985,194692,47809,6945,13797,1947,137530,62924,5104,59632,126979,70568,52875,14769,-,29960,97992,82597,15464,35920,1578,1679,63220,201970,135483,129708,-,78369,186822,-,22554,39257,74532,13210,17874,15520,2850,9792,69602,65026,35901,46442,83938,7348,83534,10390,16087,73842,57836,-,-,-,-,255408,9783,64845,60875,69870,-,69602,179552,16037,-,-,69602,69932,96632,29025,-,69602,84840,41144,67584,2022,69602
Did not report,CA,184212,43123,24065,82029,26892,8103,82024,102188,99078,14283,7551,20177,43123,55343,16273,69300,43295,4236,34803,10479,-,134694,27983,63187,6120,53841,-,-,33082,47105,137107,33082,16717,134413,1751,14966,167495,2022,33082,-,-,-,863,-,1751,146494,2484,2022,-,3743,-,10479,-,-,-,167506,-,-,-,-,47796,136416,4236,35104,-,-,144873,33945,3373,2022,-,144873,35566,3773,-,-,144873,39339,-,-,-,144873
Total,CO,4504323,513445,1232447,1140900,714755,902776,2244348,2259975,879273,3177135,156608,110596,180711,260956,1102867,1355885,1784615,2561439,146851,521996,1234507,39531,341538,1552676,774143,814105,502766,245359,273737,1659110,2845213,753659,3721840,28824,2796566,1685929,21828,311549,256361,357252,664956,432178,575332,329594,309341,1267759,2990046,1069015,877162,277227,217353,1142014,137786,120871,58598,758493,40634,10870,21336,10604,4382461,50865,2403544,953153,102632,902,1044091,2888722,500291,59033,7067,1049211,2012322,1206436,238886,902,1045777,2772999,577679,96208,11229,1046207
Yes,CO,629064,124212,176464,172616,80333,75439,303707,325357,188334,326151,34055,10518,70006,56766,164156,231816,176325,306894,-,88118,230883,3169,23525,160930,99615,106105,105429,76894,56565,278819,350245,122048,504837,2179,378090,248794,2179,59622,61235,18888,78380,60387,58404,69384,33070,189695,383390,172402,136890,95744,23559,184461,21152,24479,1625,89260,4437,4020,-,5638,605189,11449,301608,131219,41965,-,154272,405695,64316,2727,2054,154272,240530,166531,67731,-,154272,380934,89794,4064,-,154272
No,CO,3839399,389233,1049514,953931,624028,822693,1924051,1915348,675225,2834821,118570,100078,110705,204190,938711,1104533,1591965,2244116,143214,432194,1001175,18700,315700,1379471,671268,702803,388157,168464,213535,1373396,2466003,627974,3202442,8983,2401312,1436100,1987,250244,192677,334381,586577,371791,516928,260210,274880,1051712,2593777,892630,736289,181483,193795,953569,116634,96392,51270,647935,36196,3213,21336,4966,3762710,21754,2097827,819485,56684,902,864501,2472484,435975,56305,5013,869621,1769366,1034238,168706,902,866187,2387190,482219,92144,11229,866617
Not sure,CO,16515,-,6469,6409,-,3637,5411,11104,3637,8895,3983,-,-,-,-,3983,12532,10429,3637,-,2449,-,-,7504,1391,-,3983,-,3637,5028,11487,3637,12878,-,15480,1035,-,-,2449,3983,-,-,-,-,1391,8691,12878,3983,3983,-,-,3983,-,-,4020,3637,-,3637,-,-,12878,-,2426,2449,3983,-,7657,8858,-,-,-,7657,2426,3983,2449,-,7657,4875,3983,-,-,7657
Did not report,CO,19345,-,-,7943,10394,1008,11179,8166,12077,7268,-,-,-,-,-,15552,3793,-,-,1684,-,17661,2313,4770,1868,5197,5197,-,-,1868,17477,-,1684,17661,1684,-,17661,1684,-,-,-,-,-,-,-,17661,-,-,-,-,-,-,-,-,1684,17661,-,-,-,-,1684,17661,1684,-,-,-,17661,1684,-,-,-,17661,-,1684,-,-,17661,-,1684,-,-,17661
