Diagnosis,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking
Yes,ME,69618,4887,9523,17386,21758,16063,26086,43532,-,63497,2084,-,4036,-,32525,17111,19981,47861,3533,6328,11896,-,4438,28916,11609,7707,13705,3242,-,9546,60072,12031,57587,-,38706,30912,-,3507,5210,9494,18411,5920,11322,-,1750,14003,56306,18599,7979,3295,10949,9123,1999,631,-,8420,-,724,-,-,68894,-,37324,18702,1673,-,11919,50879,3180,3640,-,11919,31119,25494,1086,-,11919,47623,9352,724,-,11919
No,ME,976819,59295,240687,226088,174082,276667,476263,500556,28547,920719,4857,366,22330,33204,329449,297244,316923,559348,38131,140717,228710,9913,75991,433985,197978,160293,60142,33758,14673,282660,694159,124975,848516,3328,562138,414682,-,52614,88727,97456,141131,119913,119523,42268,37700,277487,700923,216992,193077,61084,38096,293133,22055,43527,30466,125874,1480,-,-,-,968685,6654,551517,176277,30257,945,217823,650747,93960,14289,-,217823,485561,228592,43052,-,219614,586273,132638,40084,-,217823
Not sure,ME,15819,6059,1222,6891,1648,-,15117,702,6189,9630,-,-,-,6189,6059,2869,702,12950,-,-,2869,-,-,8928,-,6891,-,-,-,8113,7706,1648,14171,-,12950,2869,-,2869,-,-,-,-,-,-,702,12248,2350,702,2350,-,-,1648,-,-,-,13469,-,-,-,-,14171,1648,1924,1648,-,-,12248,3571,-,-,-,12248,3571,-,-,-,12248,3571,-,-,-,12248
Did not report,ME,10760,-,-,-,9239,1521,1521,9239,-,10760,-,-,-,-,8294,945,1521,8294,-,-,-,2466,507,1959,-,-,-,-,8294,-,10760,-,-,10760,-,-,10760,-,-,-,-,-,-,-,-,10760,-,-,-,-,-,-,-,-,-,10760,-,-,-,-,-,10760,-,-,-,-,10760,-,-,-,-,10760,-,-,-,-,10760,-,-,-,-,10760
Total,MD,4585752,360058,1193378,1230468,828702,973147,2172103,2413649,435234,2367235,1369047,263008,151228,347970,1259773,1214722,1763287,2482149,222050,586738,1256221,38594,394170,1239248,963772,1039683,440650,342110,166119,1953649,2632103,890754,3670935,24063,2731349,1825724,28679,335588,242013,282625,443664,358700,583820,314322,418298,1606721,2912379,1084205,666246,354870,272072,1160885,137557,286134,111477,750467,25308,30701,19628,4761,4442564,78104,2288417,921112,74934,9358,1291931,2930035,324842,43800,15139,1271936,2048860,1023981,228547,16678,1267685,2531835,575759,194167,10482,1273509
Yes,MD,501638,49280,137669,169667,82319,62703,256474,245164,66111,205313,195755,25233,9226,47078,166028,167947,120584,251242,16304,78934,154260,898,26789,91614,116527,175833,66204,16788,7884,255112,246526,113163,388475,-,309834,177919,13885,34475,26723,43300,46638,20407,83963,38298,17609,190225,240212,144910,85833,77151,37393,121044,20020,40441,31962,91015,1659,5335,-,-,478084,16559,228733,115337,9402,-,148167,327228,20010,4461,-,149939,199339,107139,46993,-,148167,229191,96398,27882,-,148167
No,MD,3993271,310777,1002222,1046056,735336,898879,1850324,2142947,328169,2121211,1168751,237774,137366,261879,1077821,1034188,1619382,2197950,203708,497895,1065031,28686,357126,1134104,845527,841027,348308,325322,141856,1668603,2324668,736227,3244589,12454,2384138,1603349,5784,280375,210369,239325,392285,336250,499857,276025,398452,1360332,2655103,932498,578695,277719,234679,1033029,117536,243462,79515,592644,23648,25365,19628,4761,3882646,52535,2049107,792317,65532,9358,1076957,2583693,299912,39339,15139,1055188,1839457,909684,174742,16678,1052710,2288111,469858,166285,10482,1058535
Not sure,MD,74966,-,53487,14163,2396,4921,65305,9661,40954,33854,158,-,-,36782,9502,8021,20660,32957,-,5079,36930,-,5404,4582,1718,20745,26138,-,16380,27856,47110,41364,33602,-,35339,39627,-,18507,4921,-,4740,2043,-,-,2238,42517,17064,6797,1718,-,-,4582,-,-,-,53162,-,-,-,-,74966,-,8346,13458,-,-,53162,16884,4921,-,-,53162,10064,7158,4582,-,53162,12302,9502,-,-,53162
Did not report,MD,15877,-,-,582,8651,6644,-,15877,-,6858,4383,-,4637,2231,6420,4565,2661,-,2038,4829,-,9010,4851,8948,-,2078,-,-,-,2078,13799,-,4268,11609,2038,4829,9010,2231,-,-,-,-,-,-,-,13646,-,-,-,-,-,2231,-,2231,-,13646,-,-,-,-,6867,9010,2231,-,-,-,13646,2231,-,-,-,13646,-,-,2231,-,13646,2231,-,-,-,13646
Total,MA,5309617,506222,1365591,1305081,929181,1203542,2544059,2765558,597315,3866939,328341,343358,173664,304791,1445149,1303947,2255729,2843209,204316,576072,1645820,40200,405317,1671042,1101222,1140500,499261,294650,197625,1803042,3506575,885821,4390632,33164,3296701,1980179,32737,289953,184434,348603,569342,472979,684317,371892,575774,1812323,3558208,1123023,781543,261999,375405,1177453,103031,337917,76278,896300,55977,39991,23647,15957,5136670,55435,2828671,959541,91438,26897,1403069,3419099,409121,59536,13327,1408535,2546098,1155911,177970,20835,1408802,3207976,581665,100159,11137,1408680
Yes,MA,634729,47431,186507,174515,81128,145148,235810,398919,119016,436870,28901,3202,46739,51266,215260,190345,177857,329336,24308,86231,193877,977,32088,154630,136785,120409,81412,51741,57662,284425,350304,141477,493252,-,384020,250709,-,33776,27652,38889,56331,73739,72307,30084,19426,282524,365862,134192,128651,57653,54303,169697,28212,62509,6312,133671,30494,-,-,-,604235,-,264223,108714,10489,-,251303,326847,48964,7615,-,251303,232268,142652,3825,4681,251303,318914,57003,7509,-,251303
No,MA,4596954,458791,1164181,1097331,845115,1031535,2255968,2340986,472900,3395494,299440,326403,102716,225119,1218107,1093188,2060540,2478552,179289,465222,1448497,25393,363304,1500199,960352,1007853,394116,231166,139963,1494931,3102022,714264,3871400,11289,2896228,1689863,10862,234368,156782,309714,507203,395501,608435,341808,554217,1488927,3164531,984622,650858,183256,310123,1001983,74819,271668,69966,738915,25483,39991,2558,15957,4501040,29986,2556544,842759,80949,5808,1110895,3076279,360157,30831,13327,1116360,2307714,1007861,148597,16154,1116628,2877893,519859,71559,11137,1116505
Not sure,MA,47148,-,14903,11155,-,21090,32763,14384,5398,10300,-,7240,24209,25519,3119,14554,3956,19493,-,24209,3445,-,4433,6730,4084,-,23732,8169,-,10811,36337,30080,17068,-,12469,34678,-,21090,-,-,5398,3740,-,-,2131,14788,13911,-,1314,21090,10980,5054,-,3740,-,7548,-,-,21090,-,26058,-,7185,4084,-,21090,14788,11269,-,21090,-,14788,2131,5398,24830,-,14788,7185,4084,21090,-,14788
Did not report,MA,30787,-,-,22080,2938,5769,19518,11269,-,24274,-,6512,-,2888,8663,5860,13376,15828,719,410,-,13830,5492,9482,-,12239,-,3574,-,12875,17912,-,8912,21875,3984,4928,21875,719,-,-,410,-,3574,-,-,26084,13903,4209,719,-,-,719,-,-,-,16165,-,-,-,-,5338,25449,719,3984,-,-,26084,4703,-,-,-,26084,3984,-,719,-,26084,3984,719,-,-,26084
Total,MI,7631231,819150,1844500,1792761,1363628,1811191,3698802,3932429,356754,5864982,979453,231152,198890,504361,2438511,2548184,2140175,4366884,273387,829931,2097039,63989,558259,2848757,1497400,1284305,741484,408617,292410,2621545,5009686,1394674,6212073,24484,4346432,3271592,13207,718943,680850,682954,906825,634633,904052,355034,345865,2402075,5215029,1457335,1147317,476860,442417,2061010,218169,290416,325437,1167714,22721,16588,7087,59623,7449722,80505,4078912,1423632,181145,10248,1937293,4795559,751560,134014,5962,1944135,3480058,1838460,364580,2953,1945180,4427421,1034431,201738,30333,1937307
Yes,MI,1109393,194453,234878,269436,223853,186773,551680,557714,52211,862464,160316,23224,11178,60190,485807,344099,219298,598147,15019,112342,368855,15030,54719,415522,196010,214725,97565,74327,56524,445439,663954,318438,787022,3933,572093,537300,-,62347,106990,99988,150378,99092,107248,46936,40042,396372,576937,216493,153511,40824,76112,306363,31759,18748,27523,243237,18537,7321,-,-,1074953,8582,520007,216683,26904,3974,341826,556649,180651,26056,2689,343348,367460,329808,68777,-,343348,541332,187481,31018,6214,343348
No,MI,6459246,624697,1575683,1518376,1131220,1609269,3127869,3331377,297133,4973716,806710,204498,177188,444171,1924683,2190715,1899677,3744951,249392,703154,1720867,40883,498118,2400137,1285387,1068170,643919,334290,229225,2160679,4298567,1053732,5395371,10143,3753380,2703067,2799,652137,570156,571651,751902,535541,796052,308098,299162,1974547,4625213,1237093,991424,423150,363349,1736582,179749,270409,297913,895569,4184,9267,427,59623,6328393,62369,3533004,1198039,154241,6275,1567687,4208643,566364,107958,3273,1573008,3085662,1501904,294675,2953,1574053,3854454,845362,169968,23281,1566180
Not sure,MI,49645,-,29561,3494,3709,12882,15817,33828,7409,18549,10928,2235,10524,-,28021,10437,11187,21803,7499,13026,7318,-,1677,28549,12759,-,-,-,6661,13163,36482,22503,27142,-,20959,28686,-,4458,3705,11315,4545,-,752,-,6661,18210,11470,2339,2382,12885,2956,16656,6661,1259,-,17371,-,-,6661,-,42985,-,24773,7501,-,-,17371,27730,4545,-,-,17371,26936,5338,-,-,17371,29096,1587,752,838,17371
Did not report,MI,12946,-,4378,1455,4847,2267,3436,9511,-,10253,1498,1195,-,-,-,2933,10013,1982,1478,1410,-,8077,3745,4549,3243,1410,-,-,-,2263,10683,-,2538,10408,-,2538,10408,-,-,-,-,-,-,-,-,12946,1410,1410,-,-,-,1410,-,-,-,11537,-,-,-,-,3392,9555,1128,1410,-,-,10408,2538,-,-,-,10408,-,1410,1128,-,10408,2538,-,-,-,10408
Total,MN,4250165,421508,1130873,1045523,703155,949105,2099347,2150818,255151,3474320,178770,206677,135247,216933,1142776,1404683,1485773,2475235,226854,446269,1050311,51496,306475,1477206,844314,775749,416403,139759,290259,1752174,2497991,583382,3655228,11555,2704825,1514140,31200,326998,184849,325785,653763,435281,577375,310408,232318,1203388,3034648,918728,645872,159414,206952,1096278,140722,203252,78763,651624,7929,18755,-,10657,4181349,35731,2458082,712740,61477,22943,994923,2735795,443325,37178,27937,1005930,2083869,958652,156543,51796,999305,2574440,566742,73060,40589,995335
Yes,MN,473799,83484,139097,107103,74748,69366,250984,222815,63101,357076,20259,3823,29538,58676,103451,178046,133626,231090,32092,61502,136708,12406,21264,177443,50691,78224,59027,30235,56915,223855,249944,81450,391981,367,327739,143491,2568,33743,23908,21373,28855,62935,60662,43895,23353,175076,288466,85580,74533,43916,20039,105858,4382,13971,6539,104739,-,2689,-,5742,465368,-,248294,73062,1030,-,151412,290209,33716,1030,-,148844,214545,94314,16095,-,148844,273303,47446,4205,-,148844
No,MN,3742029,338024,987773,927665,626403,862165,1831537,1910492,184998,3089958,158511,202854,105709,158256,1033076,1212995,1337702,2224509,193583,383615,908191,32131,283517,1285672,783983,691808,357376,109523,230149,1518881,2223148,495049,3242751,4229,2362758,1357598,21673,293255,160941,298164,613885,372347,514442,266513,204695,1017787,2726681,827508,571339,114833,179003,981321,135763,189281,68364,538179,7929,12870,-,4915,3691799,28773,2191787,638179,54981,22943,834140,2425314,408110,32953,27937,847716,1858176,853714,137253,51796,841091,2287718,513160,63442,40589,837121
Not sure,MN,27378,-,4004,10755,515,12105,14352,13026,6077,21302,-,-,-,-,6249,9673,11457,19636,1179,1151,5412,-,1179,11617,9639,1747,-,-,3195,9438,17940,6882,20496,-,14328,13050,-,-,-,6249,11022,-,2271,-,4270,3567,19501,5640,-,665,7910,9099,578,-,3860,1747,-,3195,-,-,24183,-,18001,1500,5466,-,2411,20272,1500,3195,-,2411,11148,10624,3195,-,2411,13418,6136,5412,-,2411
Did not report,MN,6959,-,-,-,1489,5470,2474,4485,974,5984,-,-,-,-,-,3970,2989,-,-,-,-,6959,515,2474,-,3970,-,-,-,-,6959,-,-,6959,-,-,6959,-,-,-,-,-,-,-,-,6959,-,-,-,-,-,-,-,-,-,6959,-,-,-,-,-,6959,-,-,-,-,6959,-,-,-,-,6959,-,-,-,-,6959,-,-,-,-,6959
Total,MS,2186321,113999,406932,719760,412724,532906,1025969,1160352,91719,1275180,713298,56633,49492,163613,814835,757020,450853,1229977,144011,391927,393561,26846,174527,808071,431976,360859,229046,107998,73845,837873,1348448,511745,1631281,43295,1126494,1035406,24422,377989,172960,199477,184072,169756,168964,74159,40866,798079,1298850,309836,377865,244261,107306,648730,41267,109274,10776,429098,59346,32766,7177,11409,2045431,30192,931968,503644,64078,-,686631,1286089,200805,38092,2788,658548,965534,481211,81028,-,658548,973817,412321,127751,13883,658548
Yes,MS,302397,11243,56061,121746,59389,53958,95604,206793,1310,210813,89251,-,1023,23422,98640,110238,70098,146407,14902,53487,87602,-,16717,105681,64232,42417,27012,25943,20395,141333,161065,77138,225260,-,232453,67863,2082,32532,27448,29096,26052,19438,41971,16595,2344,106922,195061,36791,51769,10497,10420,72366,8935,14807,3511,69087,-,2380,-,-,300017,-,134427,60862,5958,-,101150,193595,7652,-,-,101150,113328,68242,19678,-,101150,114418,84037,2792,-,101150
No,MS,1856743,94231,341682,598014,346234,476582,923618,933124,90409,1040522,620711,56633,48468,140191,716196,629896,370460,1074338,129109,338440,302622,12233,153530,698664,357757,315105,196182,82055,53449,691035,1165707,434608,1393453,28682,894041,954975,7727,339951,145512,170381,158020,150318,126994,57564,35902,672101,1095664,273045,324990,233764,96886,576364,32332,94467,7265,342061,59346,30385,7177,5904,1738351,15580,789416,442782,58120,-,566425,1084368,193153,38092,2788,538342,849587,407464,61351,-,538342,851274,328284,124959,13883,538342
Not sure,MS,9232,5505,-,-,2620,1107,3726,5505,-,9232,-,-,-,-,-,8125,1107,9232,-,-,-,-,-,3726,5505,-,-,-,-,5505,3726,-,9232,-,-,9232,-,5505,-,-,-,-,-,-,2620,1107,8125,-,1107,-,-,-,-,-,-,-,-,-,-,5505,3726,-,8125,-,-,-,1107,8125,-,-,-,1107,2620,5505,-,-,1107,8125,-,-,-,1107
Did not report,MS,17949,3020,9188,-,4482,1259,3020,14929,-,14613,3337,-,-,-,-,8761,9188,-,-,-,3337,14613,4279,-,4482,3337,5851,-,-,-,17949,-,3337,14613,-,3337,14613,-,-,-,-,-,-,-,-,17949,-,-,-,-,-,-,-,-,-,17949,-,-,-,-,3337,14613,-,-,-,-,17949,-,-,-,-,17949,-,-,-,-,17949,-,-,-,-,17949
Total,MO,4638839,393698,1202741,1067206,893009,1082185,2236076,2402763,214253,3786707,452705,99472,85701,244792,1653507,1427983,1312557,2648595,368362,500539,1111966,9377,391193,1585681,1005491,739634,520335,212019,184486,1656507,2982332,614583,4011410,12846,2866242,1748957,23640,391356,326171,524981,627439,445339,461896,163854,145227,1552575,3220282,843989,735199,317411,204732,1237442,121097,179229,112120,669489,11227,26741,3300,28749,4553888,16699,2332029,1032621,105441,32664,1136085,2865864,460595,129011,42774,1140595,2043906,1240124,188137,28172,1138500,2606662,694715,158149,46064,1133249
Yes,MO,574308,68427,164770,148227,95522,97363,280614,293694,39999,476658,44979,11863,810,23788,182710,223672,144137,342217,22471,55694,153927,-,55211,225976,76771,113787,76349,20601,5612,199455,374853,68652,505656,-,431592,142716,-,38376,29575,42647,59028,45614,42177,23747,19332,273810,347309,94851,95485,14024,11105,122695,10606,11645,15068,139634,6926,-,-,-,567382,-,209951,130385,19059,-,214913,295541,39060,21601,-,218106,156431,176115,26849,-,214913,235035,95910,28334,115,214913
No,MO,3969873,325271,1001774,911574,788696,942557,1893668,2076205,144602,3251247,407726,84641,81656,187957,1470797,1156127,1154992,2248202,322422,438661,955689,4899,330456,1349361,889404,620910,443986,191418,144338,1391475,2578398,508022,3453484,8367,2394305,1556406,19161,352980,296596,482333,538791,397118,409901,135224,118158,1238771,2832665,745903,631542,298450,190392,1074423,80754,167584,90869,492329,4301,26741,3300,5280,3919796,12221,2081769,897299,83146,26480,881178,2525078,421535,104175,36590,882495,1880337,1022668,161288,21988,883593,2328027,593924,129815,39764,878342
Not sure,MO,85243,-,34503,2468,7487,40784,54759,30484,29653,50004,-,2351,3235,33047,-,40463,11733,53239,23469,6184,2351,-,2351,9040,39316,-,-,-,34536,64274,20969,32973,52270,-,40345,44898,-,-,-,-,29620,2607,4880,4883,7737,35516,40308,3235,3235,-,3235,35387,29738,-,6184,33047,-,-,-,23469,61774,-,40308,-,3235,6184,35516,40308,-,3235,6184,35516,7139,36405,-,6184,35516,38663,4880,-,6184,35516
Did not report,MO,9415,-,1694,4937,1303,1481,7035,2380,-,8798,-,618,-,-,-,7721,1694,4937,-,-,-,4478,3175,1303,-,4937,-,-,-,1303,8112,4937,-,4478,-,4937,4478,-,-,-,-,-,4937,-,-,4478,-,-,4937,4937,-,4937,-,-,-,4478,-,-,-,-,4937,4478,-,4937,-,-,4478,4937,-,-,-,4478,-,4937,-,-,4478,4937,-,-,-,4478
Total,MT,834511,44108,201260,232701,137717,218726,416154,418357,40692,730776,5064,7803,50176,68572,229982,276246,259711,504344,49120,122982,154711,3354,72247,327270,177250,114738,42236,18227,82542,328929,505582,119172,713476,1864,494003,332350,8158,111113,78754,91147,108327,102833,83918,28239,28222,201960,608913,181487,154715,56802,10961,240528,20975,46755,22369,79954,3338,2935,3549,4469,816686,7838,450980,181882,35109,1376,165164,531949,120335,12766,3677,165784,380239,242435,45912,1076,164849,492940,132911,37807,6004,164849
Yes,MT,107560,2262,25753,28430,13808,37307,58810,48751,8437,90783,315,631,7394,18305,24543,35501,29212,59744,15719,6777,24620,701,5952,27325,22539,19940,4628,2340,24836,53194,54367,22099,85461,-,65946,41614,-,24927,1174,6812,16482,7692,20395,2297,2434,25348,61988,23831,31807,5859,1449,36203,-,4367,12838,9755,1076,1952,3549,1076,104211,-,65327,16492,6515,1076,18150,71019,16316,999,1076,18150,51303,29048,8299,1076,17835,55935,30954,1760,1076,17835
No,MT,721023,41846,175506,200233,123908,179529,352689,368334,31935,634384,4749,7172,42783,50267,205440,235091,230225,443222,33402,114613,128023,1763,65976,296404,152643,94798,37608,15887,57706,275462,445561,95005,625045,973,423019,290736,7268,85866,75512,84335,90847,93977,63523,25942,25788,175234,541316,157656,120567,50942,9512,203053,20701,42389,9531,69880,2262,983,-,3393,706547,7838,384062,164011,25635,300,147014,455321,103700,11767,2601,147633,325076,211320,37613,-,147014,433463,101638,33980,4928,147014
Not sure,MT,4718,-,-,3719,-,999,3446,1272,-,4718,-,-,-,-,-,4444,274,1378,-,1272,2067,-,-,2651,2067,-,-,-,-,274,4444,2067,2651,-,4718,-,-,-,2067,-,999,274,-,-,-,1378,4718,-,2341,-,-,1272,274,-,-,-,-,-,-,-,4718,-,1272,1378,2067,-,-,4718,-,-,-,-,2651,2067,-,-,-,2651,-,2067,-,-
Did not report,MT,1210,-,-,319,-,891,1210,-,319,891,-,-,-,-,-,1210,-,-,-,319,-,891,319,891,-,-,-,-,-,-,1210,-,319,891,319,-,891,319,-,-,-,891,-,-,-,-,891,-,-,-,-,-,-,-,-,319,-,-,-,-,1210,-,319,-,891,-,-,891,319,-,-,-,1210,-,-,-,-,891,319,-,-,-
Total,NE,1420835,139380,377758,345064,226136,332497,701653,719182,109831,1187564,51844,25037,46559,72083,413513,494012,441226,837302,54887,205506,310509,12632,134559,484821,257937,248378,170486,74145,50509,577204,843631,182543,1219683,18610,947295,454505,19035,125709,120370,127164,156153,144137,152955,87082,44916,462350,940066,304929,229839,97135,23443,371401,44873,40472,33616,231592,6588,1689,3929,11059,1381732,17209,756360,244668,35567,-,384240,875090,150458,8515,2532,384240,648220,348580,38737,-,385299,797268,187071,49294,5507,381695
Yes,NE,236398,25022,66588,58559,42230,43999,123222,113175,15855,192918,10238,4784,12602,24177,71315,76236,64670,164664,4130,31826,35777,-,18667,66522,48015,47096,34111,16980,5006,106673,129725,20210,216187,-,178675,57722,-,1947,23598,20512,37225,31598,20566,21143,2258,77551,166678,49189,47515,19080,729,72691,1652,612,4666,36092,-,-,-,11059,225339,-,107442,50332,10272,-,68352,134029,33287,729,-,68352,102063,61596,4387,-,68352,137842,24407,2806,2991,68352
No,NE,1152445,107273,309235,273064,182846,280026,563363,589082,79939,984882,35247,19729,32648,39233,325274,416716,371221,660447,50756,173680,266338,1224,113893,406109,206441,194630,130014,57164,44194,468162,684282,160398,984845,7202,752862,391955,7627,122041,88099,106652,118928,111480,132389,65939,42658,364259,768774,247067,182324,78055,22714,298710,43221,39860,28949,176793,6588,1689,3929,-,1135808,5801,637465,194336,25295,-,295348,730667,117171,7786,1472,295348,535764,285924,34350,-,296407,649032,161604,46488,2516,292804
Not sure,NE,20585,7085,1935,8673,1060,1833,13500,7085,14036,4715,-,524,1309,8673,7085,1060,3768,12191,-,-,8394,-,1721,12191,-,5364,-,-,1309,2369,18216,1935,18650,-,15757,4828,-,1721,8673,-,-,1060,-,-,-,9131,4614,8673,-,-,-,-,-,-,-,7298,-,-,-,-,20585,-,11453,-,-,-,9131,10393,-,-,1060,9131,10393,1060,-,-,9131,10393,1060,-,-,9131
Did not report,NE,11408,-,-,4769,-,6639,1568,9840,-,5048,6360,-,-,-,9840,-,1568,-,-,-,-,11408,279,-,3480,1288,6360,-,-,-,11408,-,-,11408,-,-,11408,-,-,-,-,-,-,-,-,11408,-,-,-,-,-,-,-,-,-,11408,-,-,-,-,-,11408,-,-,-,-,11408,-,-,-,-,11408,-,-,-,-,11408,-,-,-,-,11408
Total,NV,2450986,260262,600980,678295,424565,486884,1213115,1237871,653369,1240299,221203,209297,126818,235851,802504,828952,583679,1249093,82896,418886,667330,32781,202865,710167,464723,406595,312029,133222,221386,981268,1469718,659983,1779908,11096,1344725,1090156,16106,207813,189569,196484,248145,234182,269324,115752,80692,909025,1376316,448928,439706,165280,227014,700388,68791,115049,77852,429260,28664,21516,5248,1234,2352994,41330,1063074,564795,71675,5985,745457,1481292,199098,22161,2937,745498,944207,667866,91572,2026,745316,1278475,350702,76466,361,744982
Yes,NV,335332,28446,105397,126801,48421,26266,145426,189905,153399,121535,17256,20893,22248,69559,107822,105344,52607,209627,8870,36312,80523,-,8660,64278,90619,60281,43238,33902,34353,177251,158080,91548,243783,-,222281,113050,-,21569,9910,16589,29836,29686,49231,13558,14964,149988,206991,59378,62247,25348,23682,85649,8679,23491,5793,61879,-,-,-,-,329092,6240,157662,36376,17983,361,122949,187109,23324,3392,361,121145,120653,89072,4100,361,121145,182170,28432,3223,361,121145
No,NV,2074898,231815,466328,546428,374014,456312,1038840,1036058,495805,1095867,203947,185518,93760,158978,681233,707965,526721,1035910,74026,376264,566092,22606,182632,643185,363878,333665,265184,99320,187033,791019,1283878,555945,1518031,921,1106630,962336,5931,173763,174389,178166,218309,202587,218216,102193,65728,741547,1152755,382735,376188,139463,197183,610719,55643,82626,69432,349892,28664,21516,5248,1234,1993320,24916,888847,524343,51065,5624,605019,1274464,172224,18769,2576,606864,819920,561787,84845,1665,606681,1082331,315603,70617,-,606347
Not sure,NV,29659,-,23127,2347,802,3383,21804,7855,2882,14410,-,1558,10809,7314,11089,9698,1558,2634,-,6310,20715,-,8366,756,7314,9615,3607,-,-,12074,17585,11566,18093,-,15813,13846,-,11558,5270,1729,-,1909,1878,-,-,7314,16570,6816,1271,469,5225,3096,4469,8932,2627,7314,-,-,-,-,29659,-,15642,4076,2627,-,7314,19718,2627,-,-,7314,2711,17007,2627,-,7314,13051,6667,2627,-,7314
Did not report,NV,11098,-,6127,2719,1328,923,7045,4052,1282,8487,-,1328,-,-,2360,5945,2793,923,-,-,-,10175,3206,1947,2911,3034,-,-,-,923,10175,923,-,10175,-,923,10175,923,-,-,-,-,-,-,-,10175,-,-,-,-,923,923,-,-,-,10175,-,-,-,-,923,10175,923,-,-,-,10175,-,923,-,-,10175,923,-,-,-,10175,923,-,-,-,10175
Total,NH,1080887,73953,260096,266090,215544,265204,531757,549130,70220,953668,14842,21441,20716,53376,330627,314536,382348,651335,60079,116053,241973,11447,69633,429050,233204,173639,120967,38865,15530,348385,732502,141303,931261,8323,667228,403342,10316,39716,64394,60173,134125,108103,157398,58955,105625,352399,772597,233968,156494,52573,38980,242088,21189,19205,31570,145696,2167,13372,1423,2009,1057294,9814,558245,215935,30453,2435,273819,656850,114919,32204,2300,274613,489355,276230,39035,2054,274213,621128,163886,18317,3619,273937
Yes,NH,99988,3560,26282,39798,17554,12795,47844,52145,5334,89813,3961,-,881,2885,25957,44209,26938,51856,5336,12297,30500,-,2634,35172,23065,14403,18130,5322,1262,43678,56311,21483,78247,258,68562,31427,-,4118,6604,4601,16214,10214,11925,4412,4322,37577,73319,33909,18266,7684,4197,23093,1575,3269,657,6948,-,-,-,-,99604,384,52923,17494,5209,-,24362,63591,11777,258,-,24362,38245,32397,4984,-,24362,59937,13698,1991,-,24362
No,NH,946758,67644,208839,223829,195550,250895,457991,488766,37617,858815,10882,19609,19834,47742,280626,269304,349087,592288,54743,101379,191226,7121,65459,390856,200498,157183,86249,33542,12970,295689,651068,117694,825053,4011,572408,368087,6263,35598,56967,52823,117490,97398,144916,54543,101302,285719,678624,180909,137807,44889,34783,215973,19614,15935,30914,126505,2167,13372,1423,2009,927858,5120,501106,198441,24148,2435,220627,588771,102319,31946,2300,221421,447940,241692,34051,2054,221021,556975,149916,15504,3619,220745
Not sure,NH,28587,2749,23222,762,1854,-,23222,5366,27269,1319,-,-,-,2749,23222,273,2344,7191,-,1298,19826,273,-,762,9384,556,16587,-,1298,8761,19826,2127,26461,-,25838,2749,-,-,-,2749,-,490,556,-,-,24792,20655,17906,-,-,-,3022,-,-,-,7933,-,-,-,-,28587,-,3795,-,273,-,24520,4068,-,-,-,24520,2749,1319,-,-,24520,3795,273,-,-,24520
Did not report,NH,5553,-,1753,1701,586,1514,2700,2854,-,3722,-,1832,-,-,823,751,3980,-,-,1079,421,4053,1540,2260,257,1496,-,-,-,257,5297,-,1500,4053,421,1079,4053,-,823,-,421,-,-,-,-,4310,-,1243,421,-,-,-,-,-,-,4310,-,-,-,-,1243,4310,421,-,823,-,4310,421,823,-,-,4310,421,823,-,-,4310,421,-,823,-,4310
